Geography,Age group,Population
,80 to 84 years,"11,724"
,85 to 89 years,"8,420"
,90 years and over,"4,968"
"Kitchener-Cambridge-Waterloo, Ontario",All ages,"518,651"
,0 to 4 years,"28,609"
,5 to 9 years,"29,847"
,10 to 14 years,"29,155"
,15 to 19 years,"31,894"
,20 to 24 years,"38,691"
,25 to 29 years,"39,648"
,30 to 34 years,"38,010"
,35 to 39 years,"36,119"
,40 to 44 years,"35,383"
,45 to 49 years,"35,876"
,50 to 54 years,"38,566"
,55 to 59 years,"35,046"
,60 to 64 years,"29,187"
,65 to 69 years,"24,134"
,70 to 74 years,"17,276"
,75 to 79 years,"12,677"
,80 to 84 years,"9,228"
,85 to 89 years,"5,961"
,90 years and over,"3,344"
"Brantford, Ontario",All ages,"145,661"
,0 to 4 years,"7,972"
,5 to 9 years,"8,401"
,10 to 14 years,"8,311"
,15 to 19 years,"9,101"
,20 to 24 years,"9,980"
,25 to 29 years,"9,197"
,30 to 34 years,"9,194"
,35 to 39 years,"8,932"
,40 to 44 years,"9,006"
,45 to 49 years,"9,604"
,50 to 54 years,"10,971"
,55 to 59 years,"10,620"
,60 to 64 years,"9,647"
,65 to 69 years,"8,226"
,70 to 74 years,"5,771"
,75 to 79 years,"4,259"
,80 to 84 years,"3,181"
,85 to 89 years,"2,101"
,90 years and over,"1,187"
"Guelph, Ontario",All ages,"156,553"
,0 to 4 years,"8,440"
,5 to 9 years,"8,464"
,10 to 14 years,"8,359"
,15 to 19 years,"9,084"
,20 to 24 years,"11,217"
,25 to 29 years,"12,875"
,30 to 34 years,"11,338"
,35 to 39 years,"10,762"
,40 to 44 years,"10,621"
,45 to 49 years,"10,753"
,50 to 54 years,"11,585"
,55 to 59 years,"10,869"
,60 to 64 years,"9,025"
,65 to 69 years,"7,618"
,70 to 74 years,"5,515"
,75 to 79 years,"3,966"
,80 to 84 years,"3,016"
,85 to 89 years,"2,076"
,90 years and over,970
"London, Ontario",All ages,"513,142"
,0 to 4 years,"26,176"
,5 to 9 years,"27,447"
,10 to 14 years,"26,549"
,15 to 19 years,"30,276"
,20 to 24 years,"38,271"
,25 to 29 years,"39,171"
,30 to 34 years,"35,811"
,35 to 39 years,"32,556"
,40 to 44 years,"31,286"
,45 to 49 years,"32,962"
,50 to 54 years,"38,229"
,55 to 59 years,"36,848"
,60 to 64 years,"31,651"
,65 to 69 years,"27,710"
,70 to 74 years,"20,205"
,75 to 79 years,"14,854"
,80 to 84 years,"11,005"
,85 to 89 years,"7,416"
,90 years and over,"4,719"
"Windsor, Ontario",All ages,"340,245"
,0 to 4 years,"16,725"
,5 to 9 years,"18,344"
,10 to 14 years,"19,619"
,15 to 19 years,"22,440"
,20 to 24 years,"26,182"
,25 to 29 years,"21,463"
,30 to 34 years,"19,756"
,35 to 39 years,"19,880"
,40 to 44 years,"21,736"
,45 to 49 years,"23,779"
,50 to 54 years,"26,271"
,55 to 59 years,"24,988"
,60 to 64 years,"21,365"
,65 to 69 years,"18,949"
,70 to 74 years,"13,559"
,75 to 79 years,"10,082"
,80 to 84 years,"7,208"
,85 to 89 years,"4,852"
,90 years and over,"3,047"
"Barrie, Ontario",All ages,"205,550"
,0 to 4 years,"10,565"
,5 to 9 years,"11,434"
,10 to 14 years,"12,206"
,15 to 19 years,"13,632"
,20 to 24 years,"15,467"
,25 to 29 years,"13,653"
,30 to 34 years,"13,212"
,35 to 39 years,"13,603"
,40 to 44 years,"14,476"
,45 to 49 years,"15,175"
,50 to 54 years,"17,203"
,55 to 59 years,"14,773"
,60 to 64 years,"11,176"
,65 to 69 years,"9,307"
,70 to 74 years,"6,955"
,75 to 79 years,"5,028"
,80 to 84 years,"3,695"
,85 to 89 years,"2,541"
,90 years and over,"1,449"
"Greater Sudbury, Ontario",All ages,"165,146"
,0 to 4 years,"7,977"
