,CMA,"Cities pop>2,000",,,,,,
,"Saint John, New Brunswick",Grand Bay-Westfield,,,,,,
,"Saint John, New Brunswick",Hampton,,,,,,
,"Saint John, New Brunswick",Simonds,,,,,,
22,"Saskatoon, Saskatchewan",Saskatoon,,,,,,
,"Saskatoon, Saskatchewan",Martensville,,,,,,
,"Saskatoon, Saskatchewan",Warman,,,,,,
,"Saskatoon, Saskatchewan",Corman Park,,,,,,
23,"Sherbrooke, Quebec",Sherbrooke,,,,,,
,"Sherbrooke, Quebec",Magog,,,,,,
,"Sherbrooke, Quebec",Waterville,,,,,,
,"Sherbrooke, Quebec",Ascot Corner,,,,,,
,"Sherbrooke, Quebec",Compton,,,,,,
,"Sherbrooke, Quebec",Stoke,,,,,,
,"Sherbrooke, Quebec",Saint-Denis-de-Brompton,,,,,,
,"Sherbrooke, Quebec",Hatley,,,,,,
,"Sherbrooke, Quebec",Orford,,,,,,
24,"St. Catharines-Niagara, Ontario",Fort Erie,,,,,,
,"St. Catharines-Niagara, Ontario",Lincoln,,,,,,
,"St. Catharines-Niagara, Ontario",Niagara Falls,,,,,,
,"St. Catharines-Niagara, Ontario",Niagara-on-the-Lake,,,,,,
,"St. Catharines-Niagara, Ontario",Pelham,,,,,,
,"St. Catharines-Niagara, Ontario",Port Colborne,,,,,,
,"St. Catharines-Niagara, Ontario",St Catharines,,,,,,
,"St. Catharines-Niagara, Ontario",Thorold,,,,,,
,"St. Catharines-Niagara, Ontario",Wainfleet,,,,,,
,"St. Catharines-Niagara, Ontario",Welland,,,,,,
25,"St. John's, Newfoundland and Labrador",Conception Bay South,,,,,,
,"St. John's, Newfoundland and Labrador",Mount Pearl,,,,,,
,"St. John's, Newfoundland and Labrador",Paradise,,,,,,
,"St. John's, Newfoundland and Labrador",St John's,,,,,,
,"St. John's, Newfoundland and Labrador",Torbay,,,,,,
26,"Thunder Bay, Ontario",Thunder Bay,,,,,,
,"Thunder Bay, Ontario",Oliver Paipoonge,,,,,,
,"Thunder Bay, Ontario",Neebing,,,,,,
,"Thunder Bay, Ontario",Shuniah,,,,,,
27,"Toronto, Ontario",Ajax,,,,,,
,"Toronto, Ontario",Aurora,,,,,,
,"Toronto, Ontario",Bradford West Gwillimbury,,,,,,
,"Toronto, Ontario",Brampton,,,,,,
,"Toronto, Ontario",Caledon,,,,,,
,"Toronto, Ontario",East Gwillimbury,,,,,,
,"Toronto, Ontario",Georgina,,,,,,
,"Toronto, Ontario",Halton Hills,,,,,,
,"Toronto, Ontario",Kingston,,,,,,
,"Toronto, Ontario",Markham,,,,,,
,"Toronto, Ontario",Milton,,,,,,
,"Toronto, Ontario",Mississauga,,,,,,
,"Toronto, Ontario",Mono,,,,,,
,"Toronto, Ontario",Newmarket,,,,,,
,"Toronto, Ontario",New Tecumseth,,,,,,
,"Toronto, Ontario",Oakville,,,,,,
,"Toronto, Ontario",Orangeville,,,,,,
,"Toronto, Ontario",Pickering,,,,,,
,"Toronto, Ontario",Richmond Hill,,,,,,
,"Toronto, Ontario",Toronto,,,,,,
,"Toronto, Ontario",Uxbridge,,,,,,
,"Toronto, Ontario",Vaughan,,,,,,
,"Toronto, Ontario",Whitchurch-Stoufville,,,,,,
28,"Trois-Rivieres, Quebec",Trois-Rivieres,,,,,,
,"Trois-Rivieres, Quebec",Becancour,,,,,,
,"Trois-Rivieres, Quebec",Saint-Maurice,,,,,,
,"Trois-Rivieres, Quebec",Yamachiche,,,,,,
29,"Vancouver, British Columbia",Burnaby,,,,,,
,"Vancouver, British Columbia",Coquitlam,,,,,,
,"Vancouver, British Columbia",Delta,,,,,,
,"Vancouver, British Columbia",Vancouver,,,,,,
