Geo Code,Geo Name,Line Number
421080002,800.02,4941
421080100,801,4952
421080200,802,4963
421081000,810,4974
421081100,811,4985
421081200,812,4996
421082001,820.01,5007
421082003,820.03,5018
421082004,820.04,5029
421082500,825,5040
421083001,830.01,5051
421083002,830.02,5062
421083503,835.03,5073
421083504,835.04,5084
421083505,835.05,5095
421083506,835.06,5106
421083507,835.07,5117
421084001,840.01,5128
421084002,840.02,5139
421084503,845.03,5150
421084504,845.04,5161
421084505,845.05,5172
421084506,845.06,5183
421084602,846.02,5194
421084603,846.03,5205
421084604,846.04,5216
421085002,850.02,5227
421085003,850.03,5238
421085004,850.04,5249
421085005,850.05,5260
421090000,900,5271
421090100,901,5282
421090200,902,5293
433,Sherbrooke,5304
433000100,1,5315
433000200,2,5326
433000300,3,5337
433000400,4,5348
433000500,5,5359
433000600,6,5370
433000700,7,5381
433000800,8,5392
433000901,9.01,5403
433000902,9.02,5414
433001000,10,5425
433001100,11,5436
433001200,12,5447
433001300,13,5458
433001400,14,5469
433001501,15.01,5480
433001502,15.02,5491
433001600,16,5502
433001700,17,5513
433001800,18,5524
433001901,19.01,5535
433001902,19.02,5546
433010000,100,5557
433011001,110.01,5568
433011003,110.03,5579
433011004,110.04,5590
433011006,110.06,5601
433011007,110.07,5612
433011101,111.01,5623
433011102,111.02,5634
433011105,111.05,5645
433011106,111.06,5656
433011107,111.07,5667
433011108,111.08,5678
433011201,112.01,5689
433011202,112.02,5700
433011301,113.01,5711
433011302,113.02,5722
433020000,200,5733
433020100,201,5744
433020200,202,5755
433030001,300.01,5766
433030002,300.02,5777
433040001,400.01,5788
433040002,400.02,5799
433040003,400.03,5810
433040004,400.04,5821
433040100,401,5832
433040200,402,5843
442,Trois-Rivières,5854
442000100,1,5865
442000200,2,5876
442000300,3,5887
442000400,4,5898
442000500,5,5909
442000600,6,5920
442000700,7,5931
442000800,8,5942
442000900,9,5953
442001000,10,5964
442001100,11,5975
442001201,12.01,5986
442001202,12.02,5997
442001301,13.01,6008
442001302,13.02,6019
442001303,13.03,6030
442010001,100.01,6041
442010002,100.02,6052
442010102,101.02,6063
442010103,101.03,6074
442010104,101.04,6085
442010200,102,6096
442020000,200,6107
442020100,201,6118
442020200,202,6129
442020300,203,6140
442020400,204,6151
442020501,205.01,6162
442020502,205.02,6173
442020503,205.03,6184
442021000,210,6195
442021100,211,6206
442021200,212,6217
442021300,213,6228
442030001,300.01,6239
442030002,300.02,6250
442030100,301,6261
442030200,302,6272
442030300,303,6283
442030400,304,6294
447,Drummondville,6305
447000101,1.01,6316
447000102,1.02,6327
447000200,2,6338
447000300,3,6349
447000400,4,6360
447000500,5,6371
447000600,6,6382
447000700,7,6393
447000800,8,6404
447000900,9,6415
447001000,10,6426
447001100,11,6437
447001200,12,6448
447001300,13,6459
447001400,14,6470
447001500,15,6481
447010000,100,6492
447010100,101,6503
447010200,102,6514
447010300,103,6525
447010400,104,6536
447010500,105,6547
447010600,106,6558
447010700,107,6569
450,Granby,6580
450000100,1,6591
450000200,2,6602
450000400,4,6613
450000500,5,6624
450000600,6,6635
450000700,7,6646
450000800,8,6657
450000900,9,6668
450001000,10,6679
450001100,11,6690
450001200,12,6701
450001300,13,6712
450001400,14,6723
450001500,15,6734
450001600,16,6745
450010000,100,6756
450020000,200,6767
450020100,201,6778
450020200,202,6789
462,Montréal,6800
462000100,1,6811
462000200,2,6822
462000300,3,6833
462000400,4,6844
462000500,5,6855
462000600,6,6866
462000700,7,6877
462000800,8,6888
462000900,9,6899
462001000,10,6910
462001100,11,6921
462001201,12.01,6932
462001202,12.02,6943
462001300,13,6954
462001401,14.01,6965
462001500,15,6976
462001600,16,6987
462001700,17,6998
462001800,18,7009
462001900,19,7020
462002100,21,7031
462002200,22,7042
462002300,23,7053
462002400,24,7064
462002500,25,7075
462002600,26,7086
462002700,27,7097
462002800,28,7108
462002900,29,7119
462003000,30,7130
462003100,31,7141
462003200,32,7152
462003300,33,7163
462003400,34,7174
462003500,35,7185
462003600,36,7196
462003700,37,7207
462003800,38,7218
462003900,39,7229
462004100,41,7240
462004200,42,7251
462004300,43,7262
462004400,44,7273
462004500,45,7284
462004600,46,7295
462004700,47,7306
462004800,48,7317
462004900,49,7328
462005000,50,7339
462005100,51,7350
462005200,52,7361
462005300,53,7372
462005400,54,7383
462005501,55.01,7394
462005502,55.02,7405
462005600,56,7416
462005700,57,7427
462005800,58,7438
462005900,59,7449
462006000,60,7460
462006100,61,7471
462006200,62,7482
462006300,63,7493
462006400,64,7504
462006501,65.01,7515
462006502,65.02,7526
462006601,66.01,7537
462006602,66.02,7548
462006700,67,7559
462006800,68,7570
462006901,69.01,7581
462006902,69.02,7592
462007001,70.01,7603
462007002,70.02,7614
462007200,72,7625
462007300,73,7636
462007400,74,7647
462007500,75,7658
462007600,76,7669
462007700,77,7680
462007800,78,7691
462007900,79,7702
462008000,80,7713
462008100,81,7724
462008200,82,7735
462008300,83,7746
462008400,84,7757
462008500,85,7768
462008600,86,7779
462008700,87,7790
462008800,88,7801
462008900,89,7812
462009000,90,7823
462009200,92,7834
462009300,93,7845
462009401,94.01,7856
462009500,95,7867
462009600,96,7878
462009701,97.01,7889
462009702,97.02,7900
462009800,98,7911
462009900,99,7922
462010001,100.01,7933
462010002,100.02,7944
462010101,101.01,7955
462010102,101.02,7966
462010200,102,7977
462010300,103,7988
462010400,104,7999
462010500,105,8010
462010600,106,8021
462010700,107,8032
462010800,108,8043
462010900,109,8054
462011000,110,8065
462011100,111,8076
462011201,112.01,8087
462011202,112.02,8098
462011300,113,8109
462011400,114,8120
462011501,115.01,8131
462011502,115.02,8142
462011600,116,8153
462011700,117,8164
462011800,118,8175
462011900,119,8186
462012001,120.01,8197
462012002,120.02,8208
462012100,121,8219
462012200,122,8230
462012300,123,8241
462012400,124,8252
462012500,125,8263
462012600,126,8274
462012701,127.01,8285
462012800,128,8296
462012901,129.01,8307
462012902,129.02,8318
462013000,130,8329
462013100,131,8340
462013200,132,8351
462013300,133,8362
462013400,134,8373
462013500,135,8384
462013600,136,8395
462013700,137,8406
462013800,138,8417
462013900,139,8428
462014000,140,8439
462014100,141,8450
462014200,142,8461
462014300,143,8472
462014400,144,8483
462014600,146,8494
462014700,147,8505
462014800,148,8516
462014900,149,8527
462015000,150,8538
462015100,151,8549
462015200,152,8560
462015300,153,8571
462015400,154,8582
462015500,155,8593
462015600,156,8604
462015700,157,8615
462015800,158,8626
462015900,159,8637
462016000,160,8648
462016100,161,8659
462016200,162,8670
462016300,163,8681
462016400,164,8692
462016500,165,8703
462016600,166,8714
462016700,167,8725
462016800,168,8736
462016900,169,8747
462017000,170,8758
462017100,171,8769
462017200,172,8780
462017300,173,8791
462017400,174,8802
462017500,175,8813
462017600,176,8824
462017700,177,8835
462017800,178,8846
462017900,179,8857
462018000,180,8868
462018100,181,8879
462018200,182,8890
462018300,183,8901
462018400,184,8912
462018500,185,8923
462018600,186,8934
462018701,187.01,8945
462018703,187.03,8956
462018704,187.04,8967
462018801,188.01,8978
462018802,188.02,8989
462019001,190.01,9000
462019002,190.02,9011
462019100,191,9022
462019200,192,9033
462019300,193,9044
462019400,194,9055
462019501,195.01,9066
462019502,195.02,9077
462019503,195.03,9088
462019600,196,9099
462019700,197,9110
462019800,198,9121
462019900,199,9132
462020000,200,9143
462020100,201,9154
462020200,202,9165
462020300,203,9176
462020400,204,9187
462020500,205,9198
462020600,206,9209
462020700,207,9220
462020800,208,9231
462020900,209,9242
462021000,210,9253
462021100,211,9264
462021200,212,9275
462021300,213,9286
462021400,214,9297
462021500,215,9308
462021600,216,9319
462021700,217,9330
462021800,218,9341
462021900,219,9352
462022000,220,9363
462022100,221,9374
462022200,222,9385
462022301,223.01,9396
462022302,223.02,9407
462022400,224,9418
462022500,225,9429
462022600,226,9440
462022700,227,9451
462022800,228,9462
462023000,230,9473
462023100,231,9484
462023200,232,9495
462023300,233,9506
462023400,234,9517
462023500,235,9528
462023600,236,9539
462023700,237,9550
462023800,238,9561
462023900,239,9572
462024000,240,9583
462024100,241,9594
462024200,242,9605
462024300,243,9616
462024400,244,9627
462024500,245,9638
462024700,247,9649
462024900,249,9660
462025000,250,9671
462025101,251.01,9682
462025102,251.02,9693
462025200,252,9704
462025300,253,9715
462025400,254,9726
462025600,256,9737
462025700,257,9748
462025800,258,9759
462025900,259,9770
462026000,260,9781
462026100,261,9792
462026200,262,9803
462026300,263,9814
462026401,264.01,9825
462026402,264.02,9836
462026500,265,9847
462026600,266,9858
462026700,267,9869
462026801,268.01,9880
462026802,268.02,9891
462026900,269,9902
462027000,270,9913
462027100,271,9924
462027200,272,9935
462027300,273,9946
462027400,274,9957
462027500,275,9968
462027600,276,9979
462027700,277,9990
462027800,278,10001
462027900,279,10012
