Geography,Age group,2010
"Kelowna, British Columbia",25 to 29 years,8.0
"Kelowna, British Columbia",30 to 34 years,15.0
"Kelowna, British Columbia",35 to 39 years,13.0
"Kelowna, British Columbia",40 to 44 years,14.0
"Kelowna, British Columbia",45 to 49 years,30.0
"Kelowna, British Columbia",5 to 9 years,0.0
"Kelowna, British Columbia",50 to 54 years,45.0
"Kelowna, British Columbia",55 to 59 years,66.0
"Kelowna, British Columbia",60 to 64 years,78.0
"Kelowna, British Columbia",65 to 69 years,105.0
"Kelowna, British Columbia",70 to 74 years,150.0
"Kelowna, British Columbia",75 to 79 years,195.0
"Kelowna, British Columbia",80 to 84 years,239.0
"Kelowna, British Columbia",85 to 89 years,322.0
"Kelowna, British Columbia",90 years and over,276.0
"Kelowna, British Columbia",All ages,1575.0
"Kingston, Ontario",0 to 4 years,8.0
"Kingston, Ontario",10 to 14 years,3.0
"Kingston, Ontario",15 to 19 years,4.0
"Kingston, Ontario",20 to 24 years,0.0
"Kingston, Ontario",25 to 29 years,3.0
"Kingston, Ontario",30 to 34 years,8.0
"Kingston, Ontario",35 to 39 years,11.0
"Kingston, Ontario",40 to 44 years,18.0
"Kingston, Ontario",45 to 49 years,31.0
"Kingston, Ontario",5 to 9 years,0.0
"Kingston, Ontario",50 to 54 years,52.0
"Kingston, Ontario",55 to 59 years,73.0
"Kingston, Ontario",60 to 64 years,92.0
"Kingston, Ontario",65 to 69 years,100.0
"Kingston, Ontario",70 to 74 years,128.0
"Kingston, Ontario",75 to 79 years,191.0
"Kingston, Ontario",80 to 84 years,207.0
"Kingston, Ontario",85 to 89 years,218.0
"Kingston, Ontario",90 years and over,206.0
"Kingston, Ontario",All ages,1353.0
"Kitchener-Cambridge-Waterloo, Ontario",0 to 4 years,30.0
"Kitchener-Cambridge-Waterloo, Ontario",10 to 14 years,4.0
"Kitchener-Cambridge-Waterloo, Ontario",15 to 19 years,15.0
"Kitchener-Cambridge-Waterloo, Ontario",20 to 24 years,13.0
"Kitchener-Cambridge-Waterloo, Ontario",25 to 29 years,12.0
"Kitchener-Cambridge-Waterloo, Ontario",30 to 34 years,21.0
