Geography,Age group,2010,2011,2012,2013,2014,2015,2016
,5 to 9 years,0,2,3,1,2,1,2
,10 to 14 years,2,1,5,2,3,2,2
,15 to 19 years,10,13,9,5,5,4,5
,20 to 24 years,11,7,7,7,7,7,7
,25 to 29 years,7,11,8,10,10,10,10
,30 to 34 years,18,10,10,10,10,10,12
,35 to 39 years,12,16,18,19,20,19,20
,40 to 44 years,26,37,30,34,34,33,34
,45 to 49 years,46,63,59,58,55,53,52
,50 to 54 years,99,97,97,93,95,96,95
,55 to 59 years,126,122,139,127,130,132,136
,60 to 64 years,157,160,166,172,177,182,187
,65 to 69 years,178,171,198,219,228,242,250
,70 to 74 years,203,198,218,223,231,242,253
,75 to 79 years,284,311,282,282,290,298,309
,80 to 84 years,362,362,385,391,395,404,408
,85 to 89 years,295,361,344,398,409,424,438
,90 years and over,276,289,335,386,422,456,475
"Toronto, Ontario",All ages,"28,905","28,727","30,359","31,520","32,628","33,756","34,927"
,-1 year 7,293,295,283,280,283,284,290
,0 to 4 years,62,59,63,61,61,61,59
,5 to 9 years,24,19,21,24,24,25,24
,10 to 14 years,32,32,29,28,27,28,28
,15 to 19 years,91,81,95,106,103,103,102
,20 to 24 years,128,149,154,154,157,157,159
,25 to 29 years,138,157,150,160,162,164,171
,30 to 34 years,148,173,168,203,207,210,214
,35 to 39 years,247,234,226,245,246,246,252
,40 to 44 years,389,425,429,421,411,402,397
,45 to 49 years,717,694,737,668,647,626,616
,50 to 54 years,"1,060","1,066","1,056","1,097","1,118","1,125","1,116"
,55 to 59 years,"1,327","1,366","1,401","1,447","1,486","1,521","1,570"
,60 to 64 years,"1,665","1,786","1,800","1,785","1,827","1,882","1,943"
,65 to 69 years,"1,896","1,966","2,200","2,321","2,443","2,569","2,675"
,70 to 74 years,"2,503","2,500","2,599","2,603","2,713","2,810","2,945"
,75 to 79 years,"3,661","3,448","3,508","3,663","3,767","3,859","3,969"
,80 to 84 years,"4,900","4,554","4,867","4,978","5,066","5,138","5,195"
,85 to 89 years,"5,072","4,998","5,243","5,548","5,687","5,873","6,065"
,90 years and over,"4,552","4,725","5,330","5,728","6,193","6,673","7,137"
"Hamilton, Ontario",All ages,"5,503","5,760","6,049","6,284","6,510","6,725","6,945"
,-1 year 7,20,35,25,36,36,36,38
,0 to 4 years,11,10,7,7,8,7,7
,5 to 9 years,2,3,4,3,3,3,3
,10 to 14 years,8,4,8,5,3,4,5
,15 to 19 years,15,23,9,5,5,5,5
,20 to 24 years,18,22,20,25,26,26,27
,25 to 29 years,21,21,23,25,27,27,27
,30 to 34 years,29,22,32,27,28,29,28
,35 to 39 years,33,32,41,39,39,39,40
,40 to 44 years,48,62,56,65,65,64,64
,45 to 49 years,122,118,98,109,106,102,99
,50 to 54 years,175,196,203,210,211,213,212
,55 to 59 years,239,246,270,290,293,302,311
,60 to 64 years,344,362,352,347,357,367,375
,65 to 69 years,418,415,416,473,498,524,547
,70 to 74 years,471,510,495,576,600,623,652
,75 to 79 years,742,752,723,729,750,765,788
,80 to 84 years,900,953,"1,031","1,020","1,035","1,050","1,061"
,85 to 89 years,"1,001","1,080","1,131","1,096","1,125","1,159","1,198"
,90 years and over,886,894,"1,105","1,197","1,295","1,380","1,458"
"St. Catharines-Niagara, Ontario",All ages,"3,810","3,785","4,043","4,064","4,202","4,350","4,500"
,-1 year 7,12,10,7,13,13,14,14
,0 to 4 years,1,4,3,1,1,1,1
,5 to 9 years,3,2,1,1,1,1,1
,10 to 14 years,0,2,4,0,0,0,0
,15 to 19 years,13,9,11,8,8,8,7
,20 to 24 years,12,18,12,13,13,13,14
,25 to 29 years,11,14,18,16,16,16,16
,30 to 34 years,16,16,14,18,18,18,18
,35 to 39 years,37,21,26,23,23,23,25
,40 to 44 years,35,42,47,34,34,34,34
,45 to 49 years,66,80,62,61,58,57,56
,50 to 54 years,136,122,148,141,141,143,142
,55 to 59 years,176,162,192,184,191,194,199
,60 to 64 years,232,238,256,238,242,250,259
,65 to 69 years,291,274,349,312,327,346,357
,70 to 74 years,339,346,364,389,404,418,441
,75 to 79 years,461,469,462,494,508,521,535
,80 to 84 years,654,614,633,678,689,698,705
,85 to 89 years,725,682,734,713,732,754,780
,90 years and over,590,660,700,727,783,841,896
"Kitchener-Cambridge-Waterloo, Ontario",All ages,"2,889","2,998","3,192","3,329","3,434","3,558","3,682"
,-1 year 7,16,17,24,23,23,23,23
,0 to 4 years,14,5,3,8,8,8,9
,5 to 9 years,2,1,3,0,0,0,0
,10 to 14 years,4,7,4,13,14,14,14
,15 to 19 years,15,7,9,12,12,12,11
,20 to 24 years,13,19,15,11,12,11,13
,25 to 29 years,12,15,23,19,19,19,19
,30 to 34 years,21,27,18,23,25,25,25
,35 to 39 years,22,35,20,18,19,19,21
,40 to 44 years,32,44,39,41,42,43,41
,45 to 49 years,69,71,64,76,74,70,70
,50 to 54 years,114,95,108,125,125,126,124
,55 to 59 years,145,153,157,170,175,180,184
,60 to 64 years,194,203,198,209,213,220,228
,65 to 69 years,252,221,228,255,267,281,292
,70 to 74 years,259,240,273,289,298,310,327
,75 to 79 years,326,351,354,353,362,372,382
,80 to 84 years,475,474,537,485,496,502,507
,85 to 89 years,467,482,535,580,595,613,631
,90 years and over,437,531,580,619,655,710,761
"Brantford, Ontario",All ages,"1,232","1,202","1,298","1,251","1,295","1,339","1,374"
,-1 year 7,7,9,5,5,5,5,5
,0 to 4 years,3,6,2,2,1,1,2
,5 to 9 years,2,0,0,1,1,1,1
,10 to 14 years,2,0,0,2,2,2,2
,15 to 19 years,6,4,8,3,3,3,3
,20 to 24 years,4,5,9,1,1,1,1
,25 to 29 years,6,7,10,6,6,6,6
,30 to 34 years,8,7,10,12,11,12,12
,35 to 39 years,8,13,8,15,14,15,14
,40 to 44 years,13,6,11,18,18,18,17
,45 to 49 years,29,26,32,17,17,17,17
,50 to 54 years,37,46,55,45,47,47,46
,55 to 59 years,54,60,69,61,62,63,66
,60 to 64 years,88,92,88,87,90,93,95
,65 to 69 years,95,95,104,114,118,124,129
,70 to 74 years,119,116,133,108,111,117,121
,75 to 79 years,140,179,138,128,133,136,140
,80 to 84 years,217,178,192,171,175,178,181
,85 to 89 years,216,192,228,219,226,231,238
,90 years and over,178,161,196,236,254,269,278
"Guelph, Ontario",All ages,988,896,"1,026","1,021","1,045","1,077","1,128"
,-1 year 7,5,6,10,4,4,4,4
,0 to 4 years,2,0,2,1,1,1,1
,5 to 9 years,0,0,0,1,1,1,1
,10 to 14 years,0,3,0,1,1,1,1
,15 to 19 years,1,3,4,4,4,4,3
,20 to 24 years,5,4,5,5,5,5,5
,25 to 29 years,3,4,7,5,5,5,5
,30 to 34 years,4,3,6,3,3,3,3
,35 to 39 years,14,8,6,5,5,4,4
,40 to 44 years,10,5,8,12,13,13,12
,45 to 49 years,18,20,22,27,25,25,24
,50 to 54 years,25,29,31,34,34,34,34
