Geography,Age group,2010,2011,2012,2013,2014,2015,2016
"Guelph, Ontario",40 to 44 years,10.0,5.0,8.0,12.0,13.0,13.0,12.0
"Guelph, Ontario",45 to 49 years,18.0,20.0,22.0,27.0,25.0,25.0,24.0
"Guelph, Ontario",5 to 9 years,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"Guelph, Ontario",50 to 54 years,25.0,29.0,31.0,34.0,34.0,34.0,34.0
"Guelph, Ontario",55 to 59 years,47.0,47.0,44.0,48.0,49.0,52.0,53.0
"Guelph, Ontario",60 to 64 years,58.0,57.0,53.0,52.0,52.0,55.0,56.0
"Guelph, Ontario",65 to 69 years,75.0,64.0,73.0,77.0,83.0,85.0,90.0
"Guelph, Ontario",70 to 74 years,80.0,77.0,93.0,76.0,76.0,80.0,85.0
"Guelph, Ontario",75 to 79 years,139.0,115.0,117.0,115.0,120.0,124.0,127.0
"Guelph, Ontario",80 to 84 years,159.0,137.0,159.0,173.0,175.0,178.0,183.0
"Guelph, Ontario",85 to 89 years,188.0,170.0,199.0,197.0,204.0,209.0,216.0
"Guelph, Ontario",90 years and over,155.0,144.0,187.0,181.0,185.0,194.0,221.0
"Guelph, Ontario",All ages,988.0,896.0,1026.0,1021.0,1045.0,1077.0,1128.0
"Halifax, Nova Scotia",0 to 4 years,27.0,23.0,23.0,20.0,20.0,20.0,20.0
"Halifax, Nova Scotia",10 to 14 years,1.0,2.0,0.0,6.0,6.0,6.0,6.0
"Halifax, Nova Scotia",15 to 19 years,15.0,14.0,7.0,12.0,12.0,12.0,12.0
"Halifax, Nova Scotia",20 to 24 years,17.0,11.0,16.0,12.0,11.0,12.0,11.0
"Halifax, Nova Scotia",25 to 29 years,10.0,13.0,13.0,11.0,11.0,11.0,11.0
"Halifax, Nova Scotia",30 to 34 years,20.0,14.0,20.0,15.0,14.0,17.0,16.0
"Halifax, Nova Scotia",35 to 39 years,23.0,18.0,19.0,19.0,18.0,20.0,20.0
"Halifax, Nova Scotia",40 to 44 years,39.0,32.0,29.0,33.0,33.0,33.0,33.0
