City,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),Contact with a medical doctor in the past 12 months,"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months","Fruit and vegetable consumption, 5 times or more per day",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
"Ottawa-Gatineau, Ontario/Quebec",15.292233606356994,8.793222373748808,18.443953174022308,27.808847832120914,1.1433445686995884,3.730913855756552,1.4141367033915961,61.92113479957245,9.583032766600498,14.615253269626976,5.175138574113927,1.1433445686995884,28.12477198926159,72.15858189167864,16.819200365870262,12.55422424447114,29.238028542995398,79.25183141986095,6.732193348592971,7.710053834980777,56.43759407205929,19.79791384748235,5.295490633977042,61.21406644787665,49.99123686564121,3.512775747254657,54.707533211527014
"Peterborough, Ontario",23.02503567259048,9.566740173822804,23.997924503826695,24.56544298871449,0.0,3.0808146322480217,7.13451809573226,62.751329614736015,10.701777143598392,13.296147360228305,6.323777403035413,0.0,22.619665326242057,74.1016993124919,16.701258269555066,16.295887923206642,30.889220391749905,74.1016993124919,10.296406797249967,8.99922168893501,51.482033986249846,17.349850823712544,5.837332987417304,54.64392268776754,48.15799714619276,2.594370216629913,61.37307043715138
"Québec, Quebec",17.913987890893203,5.854815554584607,16.54079021284564,28.7872167779789,1.2109106797328506,3.7201173459833967,2.059796517071344,58.69795892890581,9.20042444291867,12.920541788902066,5.530241557955184,0.5367954559640472,33.45608888334062,66.01335746832284,21.6341052368766,14.68073153985394,21.184695087697396,81.86754884214469,3.345608888334062,5.580176018975095,60.13357468322826,19.58679233506023,2.4842394357405904,67.41152237688034,44.36676861619125,2.5716247425254353,46.601335746832284
"Regina, Saskatchewan",14.00763977504645,8.063745152400626,19.74370591438298,29.677907416567255,1.205405203193908,5.528237656027233,1.3301022931794848,61.64192814953675,13.342588628456708,15.961227518153818,6.899905645868578,2.1614162264166628,21.44789947751919,66.9623373222547,18.45516931786535,13.716679898413437,26.352651683618543,74.90138538466974,6.941471342530436,6.899905645868578,47.177065711209856,14.672690921636192,6.317985892602553,55.53177074024349,40.31872576200313,2.452376103049675,58.19197532660246
"Saguenay, Quebec",20.314150524730135,9.875802408945727,17.688937226149626,30.564983404901646,0.0,3.5002843981073464,3.250264083956821,63.56766487277091,14.376168063655173,17.751442304687256,7.000568796214693,0.0,27.189709163869562,70.13069811922219,21.876777488170916,16.87637120516042,28.00227518485877,80.75656147061949,7.37559926744048,7.625619581591005,54.00438785651333,18.126472775913044,3.6252945551826086,63.19263440154512,43.628544819266565,1.9376574346665665,56.94212654778201
"Saint John, New Brunswick",19.101070603216527,5.03073464446855,24.36762093414454,27.276014400477923,1.6507098052162428,2.0437359493153484,5.580971246207297,57.38181703846939,13.755915043468692,18.393623543838135,6.209813076765867,0.0,21.144806552531875,72.15960005659576,16.035466679243505,15.563835306324577,30.891854926189687,69.80144319200113,7.86052288198211,9.747048373657815,47.55616343599176,16.271282365702966,5.8953921614865825,53.37295036865852,39.45982486755019,2.90839346633338,52.03666147872157
"Saskatoon, Saskatchewan",11.114389692141241,4.0982262876627,18.196124717222386,30.03180223599226,1.6720763253663815,4.491656011278319,1.6720763253663815,61.3750368840366,10.360316055211305,15.442116651913052,4.065440477361397,2.098291859283302,23.868069899347564,68.58791515032294,17.63876594210026,11.802891708468573,31.441592078948233,77.17779744926396,5.967017474836891,8.163666765024098,55.539162650404904,15.573259893118257,4.983443165797842,61.211107832530075,45.83456280121963,2.786793875610636,55.637520081308814
"Sherbrooke, Quebec",15.8522458129904,7.879222770953809,18.197252590059986,32.267293252477494,2.063605963821235,4.596213283056388,2.298106641528194,59.04727064661217,12.33473564738602,15.242544050952308,4.783813825221954,0.0,39.91201534572435,67.39549477297989,23.54386804177864,16.039846355155966,22.277564382161064,87.79705373348528,8.113723448660766,7.457121551081284,59.84457295081583,22.74656573757498,3.4706100300629874,70.35020331208757,49.057541776295736,4.12721192764247,56.79606414062537
"St. Catharines-Niagara, Ontario",25.361822134309943,9.425001468831399,22.791367188265017,26.757211962162902,1.2240261647832984,2.7173380858189224,4.455455239811206,65.99949080511544,13.12156048647696,18.409353518340808,5.973247684142496,0.0,22.301756722351698,81.25085681831536,18.384872995045143,16.622275317757193,31.163706155382776,81.07949315524569,10.404222400658035,12.264742171128649,55.76663206752708,19.094808170619455,6.585260766534145,65.53436086249779,47.051565774269996,3.5251953545758994,60.80961986643426
"St. John's, Newfoundland and Labrador",20.137700852589234,4.894580068337661,26.803652755182426,26.011196934594427,1.0255310619374145,5.314115502766603,1.7247567859856519,72.20670977004798,12.259757694979093,15.382965929061221,6.059956275084723,2.144292220414594,22.37522316954359,82.88155582385106,23.027833845321947,17.713718342555342,23.167678990131595,78.4997412864821,10.907921295152502,10.068850426294617,58.73496082005193,13.378518853456272,4.801349971797896,63.90923117800889,47.40750409047049,2.3773674617640066,62.04462924721359
"Thunder Bay, Ontario",20.62186559679037,6.49949849548646,23.269809428284855,27.843530591775327,0.0,2.567703109327984,3.049147442326981,60.82246740220661,13.480441323971915,19.257773319959878,5.937813440320963,0.0,24.072216649949848,73.01905717151455,20.381143430290873,15.8074222668004,32.2567703109328,74.78435305917753,8.104312938816449,11.875626880641926,47.02106318956871,14.684052156469408,5.697091273821464,55.76730190571715,49.34804413239719,2.728184553660983,60.02006018054162
"Toronto, Ontario",14.632013046197107,6.501845350248702,15.732275032799414,25.909289693422544,1.1166106045310196,4.239196628914983,1.4403132395195142,61.096420061389054,7.963411793075544,12.199338698404784,6.585223301685134,1.3373169465686294,21.194348282782045,75.07285352864483,13.016769594840378,14.542095647589193,26.05152266940233,76.07992839305348,5.440820046675304,9.222255373586355,52.5101259252296,19.718068083819364,5.120387135272552,59.60706096808342,42.7058597533811,3.3808941876576113,56.43379422812044
"Trois-Rivières, Quebec",17.605746107280233,5.932370970931382,19.32804735690547,25.8983076795499,1.5947233792826296,4.401436526820058,2.423979536509597,55.24121785835029,9.440762405353167,13.459465321145395,5.804793100588772,0.0,29.725643789828215,57.8565642003738,16.26617846868282,15.117977635599328,17.86090184796545,74.12274266905663,4.401436526820058,7.9098279612418425,49.2450579522476,16.13860059834021,1.8498791199678504,59.38749864448513,35.849381566273514,2.1050348606530713,50.07431410947457
"Vancouver, British Columbia",13.171619105142668,6.928446952160648,13.032173651821436,26.598224182072734,1.2311041450360207,3.6494867212071034,1.5259316749151974,65.81426981181238,6.458316566677637,10.88869782648364,5.191355019359014,1.3267238844562943,24.19976238494754,72.0415053415577,13.550113907014586,11.952467427534181,29.13214727670998,78.40420216881505,7.8129295417981774,9.980310301991043,52.66655564152478,17.62590529980374,6.39058591792161,58.93761688517105,52.01315408881958,3.2271662054342296,58.634821043673526
"Victoria, British Columbia",17.990906414575907,6.651183583570486,16.00100312932736,29.630477685824257,0.5179200331468822,4.497726603643977,2.398787521943454,67.98381908780652,7.414434158734312,12.757188184881096,4.933869789451877,1.8263495905705844,30.339210362762092,71.6092593198347,15.455824147067482,12.130232355282239,31.484086225507834,79.78694405373284,9.18626585107891,9.813221680677767,54.29982663308364,15.483083096180476,4.9066108403388835,62.750100858111715,55.03581825913447,3.679958130254162,60.29679543794227
"Windsor, Ontario",22.08739234997369,8.650647609478256,26.219488630789765,23.514303295867013,1.7836386823666506,2.675458023549976,4.66718788552607,65.34063039736498,12.515198087939334,15.606838470708192,6.68864505887494,0.0,20.86857258368981,77.40991881471264,15.963566207181524,17.4499317758204,33.38377067162915,76.6667360303932,7.431827843194378,11.32610563302823,53.33079660276285,16.528385123264297,6.272462699656055,62.873263553424444,41.885781724243515,3.567277364733301,61.53553454164945
"Winnipeg, Manitoba",17.75668803765929,7.467883692434013,19.935345506109687,25.400879270892755,1.6875150333662021,4.143227208787168,2.266811238850122,62.576583588034765,11.35924298579339,16.59809562669145,5.26403943244084,1.6749216375948124,21.660640726790056,72.37424549817585,15.351349445323883,15.14985511298165,27.18914147043008,77.78940567987335,7.669378024776247,9.93618926362637,53.496745236862886,18.310797451600433,6.158170532209499,59.22674031284514,43.62352295209347,3.6143045863888057,57.08586303170892
